Profit Ratio,Category,City,Country/Region,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
16%,Office Supplies,Cincinnati,United States,Nathan Gelder,20%,1,11/24/2016,CA-2016-115973,45231,Crayola,Crayola Colored Pencils,$0,1,East,$3,Consumer,11/26/2016,First Class,Ohio,Art
34%,Office Supplies,New York City,United States,Mike Vittorini,20%,1,12/11/2019,CA-2019-101798,10009,Angle-D,"Angle-D Binders with Locking Rings, Label Holders",$8,4,East,$23,Consumer,12/15/2019,Standard Class,New York,Binders
34%,Technology,New York City,United States,Mike Vittorini,0%,1,12/11/2019,CA-2019-101798,10009,Logitech,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$14,2,East,$40,Consumer,12/15/2019,Standard Class,New York,Accessories
11%,Technology,Des Moines,United States,Jack Garza,20%,1,9/21/2016,US-2016-135972,98198,Nortel,Nortel Meridian M3904 Professional Digital phone,$28,2,West,$246,Consumer,9/23/2016,Second Class,Washington,Phones
39%,Technology,Des Moines,United States,Jack Garza,0%,1,9/21/2016,US-2016-135972,98198,Canon,Canon PC1080F Personal Copier,$702,3,West,"$1,800",Consumer,9/23/2016,Second Class,Washington,Copiers
-165%,Office Supplies,Peoria,United States,Bart Pistole,80%,1,6/7/2016,US-2016-134971,61604,Wilson Jones,Wilson Jones Century Plastic Molded Ring Binders,-$21,3,Central,$12,Corporate,6/10/2016,Second Class,Illinois,Binders
34%,Office Supplies,Las Vegas,United States,Victor Preis,20%,1,6/30/2019,CA-2019-102946,89115,Other,Tuf-Vin Binders,$26,3,West,$76,Home Office,7/5/2019,Standard Class,Nevada,Binders
19%,Office Supplies,Warwick,United States,Saphhira Shifley,0%,1,10/17/2019,CA-2019-165603,02886,Other,2300 Heavy-Duty Transfer File Systems by Perma,$9,2,East,$50,Corporate,10/19/2019,Second Class,Rhode Island,Storage
48%,Office Supplies,Warwick,United States,Saphhira Shifley,0%,1,10/17/2019,CA-2019-165603,02886,Xerox,Xerox 1958,$6,2,East,$13,Corporate,10/19/2019,Second Class,Rhode Island,Paper
30%,Office Supplies,Jackson,United States,Harold Pawlan,0%,1,10/31/2017,CA-2017-122259,49201,Acme,"Acme 10"" Easy Grip Assistive Scissors",$21,4,Central,$70,Home Office,11/4/2017,Standard Class,Michigan,Supplies
10%,Office Supplies,Houston,United States,Anna Gayman,20%,1,9/8/2018,CA-2018-108987,77036,Other,Super Decoflex Portable Personal File,$4,3,Central,$36,Consumer,9/10/2018,Second Class,Texas,Storage
-13%,Furniture,Houston,United States,Anna Gayman,32%,1,9/8/2018,CA-2018-108987,77036,Riverside,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",-$317,4,Central,"$2,396",Consumer,9/10/2018,Second Class,Texas,Bookcases
-25%,Office Supplies,Houston,United States,Anna Gayman,20%,1,9/8/2018,CA-2018-108987,77036,Other,"Contico 72""H Heavy-Duty Storage System",-$33,4,Central,$131,Consumer,9/10/2018,Second Class,Texas,Storage
1%,Technology,Houston,United States,Anna Gayman,20%,1,9/8/2018,CA-2018-108987,77036,Sony,Sony 64GB Class 10 Micro SDHC R40 Memory Card,$1,2,Central,$58,Consumer,9/10/2018,Second Class,Texas,Accessories
36%,Office Supplies,Miami,United States,Luke Foster,20%,1,12/24/2016,CA-2016-113166,33180,Xerox,Xerox 1974,$3,2,South,$10,Consumer,12/26/2016,First Class,Florida,Paper
25%,Office Supplies,Wilmington,United States,Stephanie Phelps,20%,1,4/16/2016,CA-2016-155208,28403,Avery,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",$10,6,South,$39,Corporate,4/20/2016,Standard Class,North Carolina,Art
27%,Office Supplies,New York City,United States,Roy Französisch,0%,1,12/24/2019,CA-2019-117933,10024,Staple holder,Staple holder,$10,3,East,$36,Consumer,12/29/2019,Standard Class,New York,Appliances
21%,Technology,San Francisco,United States,Keith Herrera,0%,1,12/8/2019,CA-2019-117457,94110,Sony,Sony 64GB Class 10 Micro SDHC R40 Memory Card,$38,5,West,$180,Consumer,12/12/2019,Standard Class,California,Accessories
36%,Technology,San Francisco,United States,Keith Herrera,20%,1,12/8/2019,CA-2019-117457,94110,Sharp,Sharp AL-1530CS Digital Copier,$435,3,West,"$1,200",Consumer,12/12/2019,Standard Class,California,Copiers
49%,Office Supplies,San Francisco,United States,Keith Herrera,0%,1,12/8/2019,CA-2019-117457,94110,Wirebound,"Wirebound Message Book, 4 per Page",$13,5,West,$27,Consumer,12/12/2019,Standard Class,California,Paper
-11%,Furniture,San Francisco,United States,Keith Herrera,20%,1,12/8/2019,CA-2019-117457,94110,Bevis,"Bevis Round Conference Table Top, X-Base",-$113,7,West,"$1,004",Consumer,12/12/2019,Standard Class,California,Tables
48%,Office Supplies,San Francisco,United States,Keith Herrera,0%,1,12/8/2019,CA-2019-117457,94110,Wirebound,"Wirebound Service Call Books, 5 1/2"" x 4""",$5,1,West,$10,Consumer,12/12/2019,Standard Class,California,Paper
48%,Office Supplies,San Francisco,United States,Keith Herrera,0%,1,12/8/2019,CA-2019-117457,94110,Other,Self-Adhesive Removable Labels,$14,9,West,$28,Consumer,12/12/2019,Standard Class,California,Labels
49%,Office Supplies,San Francisco,United States,Keith Herrera,0%,1,12/8/2019,CA-2019-117457,94110,Xerox,Xerox 1908,$27,1,West,$56,Consumer,12/12/2019,Standard Class,California,Paper
2%,Furniture,San Francisco,United States,Keith Herrera,15%,1,12/8/2019,CA-2019-117457,94110,O'Sullivan,O'Sullivan 4-Shelf Bookcase in Odessa Pine,$31,13,West,"$1,337",Consumer,12/12/2019,Standard Class,California,Bookcases
-16%,Furniture,San Francisco,United States,Keith Herrera,20%,1,12/8/2019,CA-2019-117457,94110,Novimex,Novimex High-Tech Fabric Mesh Task Chair,-$18,2,West,$114,Consumer,12/12/2019,Standard Class,California,Chairs
47%,Office Supplies,Seattle,United States,Kimberly Carter,0%,1,11/3/2019,CA-2019-142636,98105,Xerox,Xerox 191,$66,7,West,$140,Corporate,11/7/2019,Standard Class,Washington,Paper
9%,Furniture,Seattle,United States,Kimberly Carter,20%,1,11/3/2019,CA-2019-142636,98105,Global,Global Deluxe Office Fabric Chairs,$27,4,West,$307,Corporate,11/7/2019,Standard Class,Washington,Chairs
27%,Office Supplies,Huntington Beach,United States,Caroline Jumper,0%,1,6/24/2019,CA-2019-122105,92646,Bulldog,Bulldog Vacuum Base Pencil Sharpener,$26,8,West,$96,Consumer,6/28/2019,Standard Class,California,Art
10%,Furniture,Los Angeles,United States,Philip Brown,20%,1,4/14/2018,CA-2018-148796,90004,Bevis,Bevis Steel Folding Chairs,$38,5,West,$384,Consumer,4/18/2018,Standard Class,California,Chairs
49%,Office Supplies,Richmond,United States,Victoria Brennan,0%,1,11/6/2019,CA-2019-154816,40475,Xerox,Xerox 1987,$3,1,South,$6,Corporate,11/10/2019,Standard Class,Kentucky,Paper
29%,Office Supplies,Los Angeles,United States,Sung Pak,0%,1,3/4/2019,CA-2019-110478,90045,Other,American Pencil,$3,4,West,$9,Corporate,3/9/2019,Standard Class,California,Art
46%,Office Supplies,Los Angeles,United States,Sung Pak,0%,1,3/4/2019,CA-2019-110478,90045,Other,"White Envelopes, White Envelopes with Clear Poly Window",$7,1,West,$15,Corporate,3/9/2019,Standard Class,California,Envelopes
29%,Technology,Louisville,United States,Joel Eaton,20%,1,6/22/2016,CA-2016-142048,80027,KeyTronic,KeyTronic 6101 Series - Keyboard - Black,$57,6,West,$197,Consumer,6/25/2016,First Class,Colorado,Accessories
26%,Furniture,Lawrence,United States,Michael Paige,0%,1,10/19/2019,CA-2019-125388,01841,Westinghouse,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",$15,4,East,$57,Corporate,10/23/2019,Standard Class,Massachusetts,Furnishings
26%,Office Supplies,Lawrence,United States,Michael Paige,0%,1,10/19/2019,CA-2019-125388,01841,Other,Crate-A-Files,$9,3,East,$33,Corporate,10/23/2019,Standard Class,Massachusetts,Storage
26%,Furniture,Jackson,United States,Natalie Fritzler,0%,1,8/21/2019,CA-2019-155705,39212,Hon,Hon Multipurpose Stacking Arm Chairs,$225,4,South,$866,Consumer,8/23/2019,Second Class,Mississippi,Chairs
39%,Furniture,Canton,United States,Janet Molinari,0%,1,11/23/2019,CA-2019-149160,48187,Other,Coloredge Poster Frame,$11,2,Central,$28,Corporate,11/26/2019,Second Class,Michigan,Furnishings
48%,Office Supplies,Canton,United States,Janet Molinari,0%,1,11/23/2019,CA-2019-149160,48187,GBC,GBC VeloBinder Manual Binding System,$138,8,Central,$288,Corporate,11/26/2019,Second Class,Michigan,Binders
43%,Technology,New Rochelle,United States,Shirley Daniels,0%,1,9/12/2016,CA-2016-101476,10801,Epson,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",$30,1,East,$70,Home Office,9/13/2016,First Class,New York,Machines
8%,Office Supplies,San Antonio,United States,Ken Heidel,20%,1,10/1/2019,CA-2019-152275,78207,Other,Design Ebony Sketching Pencil,$1,6,Central,$7,Corporate,10/8/2019,Standard Class,Texas,Art
-77%,Office Supplies,Gastonia,United States,Ross Baird,70%,1,4/15/2018,US-2018-123750,28052,GBC,GBC ProClick 150 Presentation Binding System,-$145,2,South,$190,Home Office,4/21/2018,Standard Class,North Carolina,Binders
19%,Technology,Gastonia,United States,Ross Baird,20%,1,4/15/2018,US-2018-123750,28052,Imation,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,$77,7,South,$409,Home Office,4/21/2018,Standard Class,North Carolina,Accessories
19%,Technology,Gastonia,United States,Ross Baird,20%,1,4/15/2018,US-2018-123750,28052,Imation,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,$55,5,South,$292,Home Office,4/21/2018,Standard Class,North Carolina,Accessories
-16%,Office Supplies,Gastonia,United States,Ross Baird,20%,1,4/15/2018,US-2018-123750,28052,Other,Woodgrain Magazine Files by Perma,-$1,2,South,$5,Home Office,4/21/2018,Standard Class,North Carolina,Storage
29%,Office Supplies,Lowell,United States,Dave Brooks,0%,1,6/6/2018,CA-2018-127369,01852,Other,Letter Size Cart,$207,5,East,$714,Consumer,6/7/2018,First Class,Massachusetts,Storage
-77%,Office Supplies,Jacksonville,United States,Mike Kennedy,70%,1,12/19/2016,US-2016-150574,32216,Other,Insertable Tab Post Binder Dividers,-$4,2,South,$5,Consumer,12/25/2016,Standard Class,Florida,Binders
-8%,Technology,Jacksonville,United States,Mike Kennedy,20%,1,12/19/2016,US-2016-150574,32216,Belkin,Belkin QODE FastFit Bluetooth Keyboard,-$19,5,South,$248,Consumer,12/25/2016,Standard Class,Florida,Accessories
4%,Technology,Chicago,United States,Philisse Overcash,30%,1,6/12/2018,CA-2018-147375,60623,Canon,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",$43,3,Central,"$1,008",Home Office,6/14/2018,Second Class,Illinois,Machines
36%,Office Supplies,Chicago,United States,Philisse Overcash,20%,1,6/12/2018,CA-2018-147375,60623,Xerox,Xerox 1908,$114,7,Central,$313,Home Office,6/14/2018,Second Class,Illinois,Paper
36%,Office Supplies,Houston,United States,Brenda Bowman,20%,1,9/15/2019,CA-2019-130043,77070,Xerox,Xerox 1897,$12,8,Central,$32,Corporate,9/19/2019,Standard Class,Texas,Paper
1%,Furniture,New York City,United States,Cynthia Voltz,10%,1,1/20/2019,CA-2019-157252,10024,Global,Global Deluxe Steno Chair,$2,3,East,$208,Corporate,1/23/2019,Second Class,New York,Chairs
30%,Furniture,Detroit,United States,Pete Kriz,0%,1,9/5/2018,CA-2018-115756,48227,Other,Aluminum Document Frame,$4,1,Central,$12,Consumer,9/7/2018,Second Class,Michigan,Furnishings
12%,Office Supplies,Detroit,United States,Pete Kriz,0%,1,9/5/2018,CA-2018-115756,48227,Fellowes,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,$23,3,Central,$195,Consumer,9/7/2018,Second Class,Michigan,Storage
29%,Office Supplies,Detroit,United States,Pete Kriz,0%,1,9/5/2018,CA-2018-115756,48227,Eldon,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,$21,3,Central,$71,Consumer,9/7/2018,Second Class,Michigan,Storage
46%,Office Supplies,Detroit,United States,Pete Kriz,0%,1,9/5/2018,CA-2018-115756,48227,Xerox,"Xerox Color Copier Paper, 11"" x 17"", Ream",$42,4,Central,$91,Consumer,9/7/2018,Second Class,Michigan,Paper
12%,Furniture,Detroit,United States,Pete Kriz,0%,1,9/5/2018,CA-2018-115756,48227,Office Star,Office Star - Ergonomically Designed Knee Chair,$29,3,Central,$243,Consumer,9/7/2018,Second Class,Michigan,Chairs
48%,Office Supplies,Detroit,United States,Pete Kriz,0%,1,9/5/2018,CA-2018-115756,48227,Avery,Avery 520,$11,7,Central,$22,Consumer,9/7/2018,Second Class,Michigan,Labels
47%,Furniture,Columbus,United States,Troy Blackwell,0%,1,3/20/2019,CA-2019-154214,47201,GE,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",$1,1,Central,$3,Consumer,3/25/2019,Second Class,Indiana,Furnishings
26%,Office Supplies,Auburn,United States,Raymond Buch,0%,1,4/1/2018,CA-2018-166674,13021,Newell,Newell 345,$15,3,East,$60,Consumer,4/3/2018,Second Class,New York,Art
6%,Office Supplies,Auburn,United States,Raymond Buch,0%,1,4/1/2018,CA-2018-166674,13021,Fellowes,Fellowes Bankers Box Recycled Super Stor/Drawer,$10,3,East,$162,Consumer,4/3/2018,Second Class,New York,Storage
27%,Office Supplies,Auburn,United States,Raymond Buch,0%,1,4/1/2018,CA-2018-166674,13021,Boston,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,$71,6,East,$264,Consumer,4/3/2018,Second Class,New York,Art
26%,Office Supplies,Auburn,United States,Raymond Buch,0%,1,4/1/2018,CA-2018-166674,13021,Other,50 Colored Long Pencils,$8,3,East,$30,Consumer,4/3/2018,Second Class,New York,Art
29%,Office Supplies,Auburn,United States,Raymond Buch,0%,1,4/1/2018,CA-2018-166674,13021,Newell,Newell 342,$3,3,East,$10,Consumer,4/3/2018,Second Class,New York,Art
26%,Technology,Auburn,United States,Raymond Buch,0%,1,4/1/2018,CA-2018-166674,13021,Belkin,Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,$9,4,East,$35,Consumer,4/3/2018,Second Class,New York,Phones
-27%,Furniture,Akron,United States,Ed Braxton,40%,1,10/20/2019,CA-2019-147277,44312,Chromcraft,Chromcraft Rectangular Conference Tables,-$76,2,East,$284,Corporate,10/24/2019,Standard Class,Ohio,Tables
10%,Office Supplies,Akron,United States,Ed Braxton,20%,1,10/20/2019,CA-2019-147277,44312,Other,Deluxe Rollaway Locking File with Drawer,$67,2,East,$665,Corporate,10/24/2019,Standard Class,Ohio,Storage
39%,Technology,Norman,United States,Ken Heidel,0%,1,12/13/2018,CA-2018-100153,73071,Memorex,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,$25,4,Central,$64,Corporate,12/17/2018,Standard Class,Oklahoma,Accessories
-19%,Furniture,Concord,United States,Sanjit Chand,20%,1,2/12/2016,US-2016-110674,94521,Global,"Global Geo Office Task Chair, Gray",-$24,2,West,$130,Consumer,2/18/2016,Standard Class,California,Chairs
-13%,Furniture,Decatur,United States,Natalie Fritzler,30%,1,9/26/2018,US-2018-157945,62521,Hon,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,-$96,3,Central,$748,Consumer,10/1/2018,Standard Class,Illinois,Chairs
38%,Office Supplies,Decatur,United States,Natalie Fritzler,20%,1,9/26/2018,US-2018-157945,62521,Staple envelope,Staple envelope,$3,2,Central,$9,Consumer,10/1/2018,Standard Class,Illinois,Envelopes
35%,Office Supplies,Seattle,United States,Joseph Holt,0%,1,12/15/2017,CA-2017-109638,98115,3M,3M Office Air Cleaner,$36,4,West,$104,Consumer,12/22/2017,Standard Class,Washington,Appliances
42%,Technology,Seattle,United States,Joseph Holt,0%,1,12/15/2017,CA-2017-109638,98115,Logitech,Logitech G700s Rechargeable Gaming Mouse,$378,9,West,$900,Consumer,12/22/2017,Standard Class,Washington,Accessories
36%,Office Supplies,Seattle,United States,Joseph Holt,20%,1,12/15/2017,CA-2017-109638,98115,Acco,Acco D-Ring Binder w/DublLock,$19,3,West,$51,Consumer,12/22/2017,Standard Class,Washington,Binders
30%,Furniture,Phoenix,United States,Tanja Norvell,20%,1,4/22/2018,CA-2018-109869,85023,Eldon,Eldon Wave Desk Accessories,$7,5,West,$24,Home Office,4/29/2018,Standard Class,Arizona,Furnishings
-64%,Furniture,Phoenix,United States,Tanja Norvell,50%,1,4/22/2018,CA-2018-109869,85023,Bush,Bush Advantage Collection Racetrack Conference Table,-$814,6,West,"$1,273",Home Office,4/29/2018,Standard Class,Arizona,Tables
-73%,Office Supplies,Phoenix,United States,Tanja Norvell,70%,1,4/22/2018,CA-2018-109869,85023,Poly,Poly Designer Cover & Back,-$21,5,West,$28,Home Office,4/29/2018,Standard Class,Arizona,Binders
-19%,Office Supplies,Phoenix,United States,Tanja Norvell,20%,1,4/22/2018,CA-2018-109869,85023,Premier,Premier Electric Letter Opener,-$35,2,West,$185,Home Office,4/29/2018,Standard Class,Arizona,Supplies
8%,Office Supplies,Phoenix,United States,Tanja Norvell,20%,1,4/22/2018,CA-2018-109869,85023,Fellowes,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",$6,2,West,$78,Home Office,4/29/2018,Standard Class,Arizona,Appliances
-123%,Furniture,Park Ridge,United States,Joni Sundaresam,60%,1,1/17/2017,US-2017-101399,60068,Eldon,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,-$312,7,Central,$255,Home Office,1/24/2017,Standard Class,Illinois,Furnishings
-18%,Furniture,Amarillo,United States,David Smith,32%,1,3/31/2019,CA-2019-154907,79109,Bush,Bush Mission Pointe Library,-$36,2,Central,$205,Corporate,4/4/2019,Standard Class,Texas,Bookcases
-165%,Office Supplies,Chicago,United States,Craig Carreira,80%,1,12/16/2018,US-2018-100419,60610,Cardinal,Cardinal Hold-It CD Pocket,-$8,3,Central,$5,Consumer,12/20/2018,Second Class,Illinois,Binders
48%,Office Supplies,Lindenhurst,United States,Maya Herman,0%,1,12/20/2017,CA-2017-154144,11757,Other,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",$27,1,East,$55,Corporate,12/24/2017,Standard Class,New York,Paper
1%,Office Supplies,San Francisco,United States,Jeremy Pistek,0%,1,11/9/2016,CA-2016-144666,94110,SAFCO,SAFCO Boltless Steel Shelving,$3,3,West,$341,Consumer,11/11/2016,Second Class,California,Storage
5%,Furniture,San Francisco,United States,Jeremy Pistek,15%,1,11/9/2016,CA-2016-144666,94110,Sauder,"Sauder Mission Library with Doors, Fruitwood Finish",$10,2,West,$223,Consumer,11/11/2016,Second Class,California,Bookcases
13%,Technology,San Francisco,United States,Jeremy Pistek,20%,1,11/9/2016,CA-2016-144666,94110,Samsung,Samsung Galaxy Note 3,$88,4,West,$704,Consumer,11/11/2016,Second Class,California,Phones
27%,Office Supplies,San Francisco,United States,Jeremy Pistek,0%,1,11/9/2016,CA-2016-144666,94110,Decoflex,"Decoflex Hanging Personal Folder File, Blue",$25,6,West,$93,Consumer,11/11/2016,Second Class,California,Storage
46%,Office Supplies,San Francisco,United States,Jeremy Pistek,0%,1,11/9/2016,CA-2016-144666,94110,Other,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",$29,7,West,$63,Consumer,11/11/2016,Second Class,California,Paper
48%,Office Supplies,San Francisco,United States,Jeremy Pistek,0%,1,11/9/2016,CA-2016-144666,94110,Xerox,Xerox 1912,$46,5,West,$95,Consumer,11/11/2016,Second Class,California,Paper
7%,Technology,Los Angeles,United States,Kristen Hastings,20%,1,7/12/2018,CA-2018-103891,90008,Cisco,Cisco SPA525G2 IP Phone - Wireless,$7,6,West,$96,Corporate,7/19/2018,Standard Class,California,Phones
48%,Furniture,Troy,United States,Jeremy Ellison,0%,1,10/27/2018,CA-2018-152632,12180,Electrix,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,$19,3,East,$40,Consumer,11/2/2018,Standard Class,New York,Furnishings
45%,Office Supplies,New York City,United States,John Grady,0%,1,6/26/2018,CA-2018-100790,10024,Prang,Prang Colored Pencils,$7,5,East,$15,Corporate,7/2/2018,Standard Class,New York,Art
12%,Office Supplies,New York City,United States,John Grady,0%,1,6/26/2018,CA-2018-100790,10024,Fellowes,"Fellowes Strictly Business Drawer File, Letter/Legal Size",$85,5,East,$704,Corporate,7/2/2018,Standard Class,New York,Storage
21%,Technology,San Diego,United States,Xylona Preis,0%,1,10/6/2016,CA-2016-134677,92024,Imation,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,$2,3,West,$9,Consumer,10/10/2016,Standard Class,California,Accessories
28%,Office Supplies,New York City,United States,Erin Mull,0%,1,7/22/2016,CA-2016-127691,10024,Other,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$2,2,East,$6,Consumer,7/27/2016,Standard Class,New York,Art
